Plot,Tree,Spec,dbh1,dbh3,dbh4,hc1,hc3,hc4,dead,deadPeriod
MRS11,1,ABLA,NA,20.7,22.3,NA,2,1,0,0
MRS11,2,ABLA,NA,22.6,,NA,1,,1,1
MRS11,3,ABLA,NA,28.4,30.7,NA,1,1,0,0
MRS11,4,PIEN,NA,37,38,NA,1,1,0,0
MRS11,5,ABLA,NA,12.5,13.5,NA,2,2,0,0
MRS11,6,ABLA,NA,8.5,9,NA,2,2,0,0
MRS11,7,ABLA,NA,13.9,14.7,NA,2,2,0,0
MRS11,8,PIEN,NA,15.8,17.2,NA,2,2,0,0
MRS11,9,PIEN,NA,36.5,26.4,NA,1,1,0,0
MRS11,10,ABLA,NA,5.5,6,NA,3,3,0,0
MRS11,11,PIEN,NA,19.9,19.5,NA,2,2,1,11
MRS11,12,PIEN,NA,46.7,47.7,NA,1,1,0,0
MRS11,13,PIEN,NA,43.5,43.9,NA,1,1,0,0
MRS11,14,PIEN,NA,4.8,5,NA,3,3,0,0
MRS11,15,PIEN,NA,8.6,8.9,NA,3,3,0,0
MRS11,16,ABLA,NA,19.3,20,NA,1,1,0,0
MRS11,17,PIEN,NA,20.4,21.8,NA,1,1,0,0
MRS11,18,PIEN,NA,13,14.5,NA,1,1,0,0
MRS11,19,ABLA,NA,22,22.7,NA,1,1,0,0
MRS11,20,ABLA,NA,17.5,,NA,1,,1,1
MRS11,21,ABLA,NA,25.4,,NA,1,,1,1
MRS11,22,ABLA,NA,24.5,,NA,1,,1,1
MRS11,23,ABLA,NA,12.6,,NA,2,,1,1
MRS11,24,ABLA,NA,27.7,,NA,1,,1,1
MRS11,25,ABLA,NA,23.3,24.6,NA,1,1,0,0
MRS11,26,ABLA,NA,17.1,,NA,2,,1,1
MRS11,27,ABLA,NA,13.8,,NA,2,,1,1
MRS11,28,ABLA,NA,33.4,35.2,NA,1,1,0,0
MRS11,29,PIEN,NA,69,68.8,NA,1,1,0,0
MRS11,30,ABLA,NA,10,10.3,NA,3,3,0,0
MRS11,31,PIEN,NA,27.8,28.8,NA,1,1,0,0
MRS11,32,ABLA,NA,19,19,NA,1,1,1,11
