"local_site","Date","Subplot","mmt_num","SM_pct"
"MRS1",2015-07-08,5,1,12.4
"MRS1",2015-07-08,5,2,5.4
"MRS1",2015-07-08,5,3,4.9
"MRS1",2015-07-08,5,4,5.2
"MRS1",2015-07-08,6,1,1.5
"MRS1",2015-07-08,6,2,3.9
"MRS1",2015-07-08,6,3,2.7
"MRS1",2015-07-08,6,4,12.7
"MRS1",2015-07-08,4,1,5.5
"MRS1",2015-07-08,4,2,3.9
"MRS1",2015-07-08,4,3,11.2
"MRS1",2015-07-08,4,4,7.1
"MRS1",2015-07-08,3,1,5.9
"MRS1",2015-07-08,3,2,2.7
"MRS1",2015-07-08,3,3,16.1
"MRS1",2015-07-08,3,4,1.6
"MRS1",2015-07-08,2,1,15.5
"MRS1",2015-07-08,2,2,7.5
"MRS1",2015-07-08,2,3,3.4
"MRS1",2015-07-08,2,4,3
"MRS1",2015-07-08,1,1,5.2
"MRS1",2015-07-08,1,2,4.5
"MRS1",2015-07-08,1,3,6
"MRS1",2015-07-08,1,4,4.7
"MRS1",2015-07-21,5,1,12
"MRS1",2015-07-21,5,2,5.6
"MRS1",2015-07-21,5,3,4.5
"MRS1",2015-07-21,5,4,16.4
"MRS1",2015-07-21,6,1,2.8
"MRS1",2015-07-21,6,2,8.4
"MRS1",2015-07-21,6,3,2
"MRS1",2015-07-21,6,4,8.4
"MRS1",2015-07-21,4,1,13.7
"MRS1",2015-07-21,4,2,5.6
"MRS1",2015-07-21,4,3,7.4
"MRS1",2015-07-21,4,4,4.3
"MRS1",2015-07-21,3,1,0.3
"MRS1",2015-07-21,3,2,9.2
"MRS1",2015-07-21,3,3,1.9
"MRS1",2015-07-21,3,4,4.4
"MRS1",2015-07-21,2,1,17.3
"MRS1",2015-07-21,2,2,13.6
"MRS1",2015-07-21,2,3,24.4
"MRS1",2015-07-21,2,4,17.5
"MRS1",2015-07-21,1,1,7.4
"MRS1",2015-07-21,1,2,5.4
"MRS1",2015-07-21,1,3,10.4
"MRS1",2015-07-21,1,4,6
"BW2",2015-06-29,7,1,6.2
"BW2",2015-06-29,7,2,2
"BW2",2015-06-29,7,3,2.5
"BW2",2015-06-29,7,4,7.5
"BW2",2015-06-29,8,1,10
"BW2",2015-06-29,8,2,6
"BW2",2015-06-29,8,3,3.5
"BW2",2015-06-29,8,4,4.3
"BW2",2015-06-30,9,1,13.2
"BW2",2015-06-30,9,2,6.9
"BW2",2015-06-30,9,3,4.1
"BW2",2015-06-30,9,4,11
"BW2",2015-06-30,10,1,4.7
"BW2",2015-06-30,10,2,4.7
"BW2",2015-06-30,10,3,5.2
"BW2",2015-06-30,10,4,6
"BW2",2015-06-30,11,1,3.9
"BW2",2015-06-30,11,2,0.8
"BW2",2015-06-30,11,3,3.5
"BW2",2015-06-30,11,4,4.3
"BW2",2015-06-30,12,1,4.4
"BW2",2015-06-30,12,2,4.5
"BW2",2015-06-30,12,3,15.1
"BW2",2015-06-30,12,4,5.6
"BW2",2015-07-21,7,1,3.8
"BW2",2015-07-21,7,2,6.7
"BW2",2015-07-21,7,3,4.5
"BW2",2015-07-21,7,4,5.1
"BW2",2015-07-21,8,1,2
"BW2",2015-07-21,8,2,1.1
