local_site,DateTime,mmt_num,SM
MRS1,5/9/2018 14:00,1,0.0969
MRS1,5/9/2018 14:00,2,0.1753
MRS1,5/9/2018 14:00,3,0.0511
MRS1,5/9/2018 14:00,4,0.1804
MRS1,5/9/2018 14:00,5,0.2734
MRS1,5/9/2018 15:00,1,0.0983
MRS1,5/9/2018 15:00,2,0.1768
MRS1,5/9/2018 15:00,3,0.0504
MRS1,5/9/2018 15:00,4,0.2131
MRS1,5/9/2018 15:00,5,0.2727
MRS1,5/9/2018 16:00,1,0.0991
MRS1,5/9/2018 16:00,2,0.1753
MRS1,5/9/2018 16:00,3,0.0504
MRS1,5/9/2018 16:00,4,0.2073
MRS1,5/9/2018 16:00,5,0.2712
MRS1,5/9/2018 17:00,1,0.0976
MRS1,5/9/2018 17:00,2,0.1746
MRS1,5/9/2018 17:00,3,0.0526
MRS1,5/9/2018 17:00,4,0.1993
MRS1,5/9/2018 17:00,5,0.2683
MRS1,5/9/2018 18:00,1,0.0976
MRS1,5/9/2018 18:00,2,0.1746
MRS1,5/9/2018 18:00,3,0.0526
MRS1,5/9/2018 18:00,4,0.1971
MRS1,5/9/2018 18:00,5,0.2661
MRS1,5/9/2018 19:00,1,0.0983
MRS1,5/9/2018 19:00,2,0.1739
MRS1,5/9/2018 19:00,3,0.0533
MRS1,5/9/2018 19:00,4,0.1935
MRS1,5/9/2018 19:00,5,0.2647
MRS1,5/9/2018 20:00,1,0.0983
MRS1,5/9/2018 20:00,2,0.1732
MRS1,5/9/2018 20:00,3,0.0533
MRS1,5/9/2018 20:00,4,0.1906
MRS1,5/9/2018 20:00,5,0.2625
MRS1,5/9/2018 21:00,1,0.0983
MRS1,5/9/2018 21:00,2,0.1724
MRS1,5/9/2018 21:00,3,0.0533
MRS1,5/9/2018 21:00,4,0.1855
MRS1,5/9/2018 21:00,5,0.2603
MRS1,5/9/2018 22:00,1,0.0991
MRS1,5/9/2018 22:00,2,0.1717
MRS1,5/9/2018 22:00,3,0.0533
MRS1,5/9/2018 22:00,4,0.1804
MRS1,5/9/2018 22:00,5,0.2589
MRS1,5/9/2018 23:00,1,0.0983
MRS1,5/9/2018 23:00,2,0.1717
MRS1,5/9/2018 23:00,3,0.0533
MRS1,5/9/2018 23:00,4,0.1761
MRS1,5/9/2018 23:00,5,0.2581
